5,0.49,0.19,-0.66,4.40,34.1,3.482
6,0.49,0.14,-0.67,4.40,33.9,3.482
7,0.49,0.20,-0.65,4.40,33.9,3.482
8,0.48,0.29,-0.63,4.40,34.1,3.482
9,0.50,0.30,-0.61,4.40,33.9,3.482
C,0.49,0.24,-0.64,4.40,33.9,3.482
0,0.50,0.21,-0.64,4.40,33.9,3.482
1,0.50,0.22,-0.66,4.40,33.9,3.482
2,0.50,0.26,-0.62,4.40,33.9,3.482
3,0.49,0.25,-0.65,4.40,34.1,3.482
4,0.49,0.23,-0.65,4.40,33.9,3.482
5,0.49,0.24,-0.64,4.40,33.9,3.482
6,0.49,0.25,-0.64,4.40,33.9,3.482
7,0.49,0.23,-0.64,4.40,33.9,3.482
8,0.50,0.23,-0.64,4.40,33.9,3.459
9,0.49,0.25,-0.65,4.40,33.9,3.482
C,0.49,0.24,-0.64,4.40,33.9,3.482
0,0.49,0.24,-0.64,4.40,33.9,3.482
1,0.49,0.25,-0.65,4.40,33.9,3.482
2,0.49,0.24,-0.64,4.40,33.9,3.482
3,0.49,0.25,-0.65,4.40,34.1,3.482
4,0.49,0.24,-0.63,4.40,34.1,3.482
5,0.49,0.24,-0.65,4.40,33.9,3.482
6,0.49,0.24,-0.64,4.40,34.1,3.482
7,0.48,0.23,-0.65,4.40,33.9,3.482
8,0.49,0.24,-0.65,4.40,34.1,3.459
9,0.49,0.23,-0.63,4.40,33.9,3.482
C,0.46,0.24,-0.69,4.40,33.9,3.482
0,0.48,0.26,-0.64,4.40,33.9,3.459
1,0.52,0.16,-0.69,4.40,33.9,3.459
2,0.43,0.26,-0.63,4.40,33.9,3.482
3,0.53,0.30,-0.62,4.40,33.9,3.482
4,0.43,0.34,-0.64,4.40,33.9,3.482
5,0.50,0.36,-0.57,4.40,33.9,3.459
6,0.46,0.51,-0.60,4.40,34.1,3.459
7,0.41,0.50,-0.79,4.40,33.9,3.459
8,0.42,0.37,-0.60,4.40,33.9,3.482
9,0.47,0.40,-0.57,4.40,34.1,3.459
C,0.48,0.43,-0.51,4.40,33.9,3.459
0,0.46,0.51,-0.48,4.40,33.9,3.459
1,0.51,0.49,-0.49,4.40,33.9,3.459
2,0.48,0.58,-0.39,4.40,33.9,3.482
3,0.50,0.57,-0.41,4.40,33.9,3.454
4,,,,,,
0.52,0.63,-0.36,4.40,33.9,3.459
5,0.50,0.67,-0.38,4.40,33.9,3.454
6,0.50,0.66,-0.37,4.40,33.9,3.459
7,0.51,0.64,-0.37,4.40,33.9,3.459
8,0.51,0.65,-0.39,4.40,33.9,3.454
9,0.50,0.65,-0.37,4.40,33.9,3.459
C,0.52,0.65,-0.38,4.40,33.9,3.459
0,0.52,0.64,-0.39,4.40,33.9,3.459
1,0.50,0.63,-0.37,4.40,34.3,3.449
2,0.51,0.64,-0.37,4.40,34.3,3.477
3,0.49,0.64,-0.35,4.40,34.3,3.505
4,0.50,0.64,-0.37,4.40,34.3,3.477
5,0.50,0.66,-0.36,4.40,33.9,3.437
6,0.50,0.66,-0.37,4.40,33.9,3.459
7,0.48,0.68,-0.33,4.40,33.9,3.459
8,0.50,0.75,-0.33,4.40,33.9,3.459
9,0.50,0.70,-0.35,4.40,34.1,3.459
C,0.50,0.69,-0.40,4.40,33.9,3.459
0,0.49,0.69,-0.42,4.40,33.9,3.459
1,0.50,0.65,-0.41,4.40,33.9,3.482
2,0.50,0.64,-0.41,4.40,33.9,3.510
3,0.49,0.64,-0.43,4.40,34.1,3.510
4,0.50,0.59,-0.43,4.40,33.9,3.515
5,0.48,0.53,-0.46,4.40,33.9,3.567
6,0.47,0.56,-0.48,4.40,33.9,3.572
7,0.47,0.56,-0.50,4.40,33.9,3.601
8,0.47,0.56,-0.50,4.40,33.9,3.625
9,0.46,0.54,-0.51,4.40,33.9,3.630
C,0.47,0.54,-0.50,4.40,33.9,3.635
0,0.46,0.59,-0.50,4.40,33.9,3.659
1,0.47,0.56,-0.50,4.40,34.1,3.659
2,0.46,0.53,-0.56,4.40,33.9,3.659
3,0.49,0.50,-0.52,4.40,34.1,3.659
4,0.44,0.44,-0.58,4.40,33.9,3.630
5,0.48,0.50,-0.57,4.40,33.9,3.659
6,0.46,0.47,-0.56,4.40,33.9,3.654
7,0.45,0.49,-0.55,4.40,33.9,3.630
8,0.46,0.50,-0.56,4.40,33.9,3.630
9,0.47,0.50,-0.57,4.40,33.9,3.625
C,0.47,0.48,-0.53,4.40,33.9,3.625
0,0.46,0.49,-0.57,4.40,33.9,3.601
1,0.45,0.49,-0.56,4.40,33.9,3.595
2,0.46,0.49,-0.57,4.40,33.9,3.595
3,0.49,0.47,-0.55,4.40,33.9,3.595
4,0.48,0.43,-0.57,4.40,33.9,3.572
5,0.47,0.44,-0.59,4.40,33.9,3.572
6,0.49,0.44,-0.56,4.40,33.9,3.572
7,0.46,0.46,-0.54,4.40,33.9,3.567
8,0.49,0.44,-0.57,4.40,33.9,3.543
9,0.50,0.44,-0.58,4.40,33.9,3.543
C,0.49,0.43,-0.55,4.40,33.9,3.538
0,0.48,0.42,-0.57,4.40,33.9,3.538
1,0.48,0.45,-0.58,4.40,33.9,3.515
2,0.49,0.42,-0.56,4.40,33.9,3.515
3,0.48,0.43,-0.58,4.40,33.9,3.515
4,0.50,0.50,-0.66,4.40,33.9,3.515
5,0.56,0.19,-0.75,4.40,33.9,3.515
6,0.53,-0.08,-0.38,4.40,34.1,3.510
7,0.59,0.11,-0.56,4.40,33.9,3.510
8,0.59,0.24,-0.64,4.40,33.9,3.515
9,0.57,0.27,-0.61,4.40,33.9,3.515
C,0.57,0.23,-0.57,4.40,33.9,3.538
0,0.59,0.25,-0.61,4.40,33.9,3.543
1,0.58,0.19,-0.54,4.40,33.9,3.572
2,0.59,0.24,-0.62,4.40,33.9,3.572

